condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,ITI.stopped,resp.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.055496999993920326,0.1621313001960516,3.721910400316119,space,3.557290299795568,None,,,,,,,,,,,,,,,,,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,X,0,0,0,0,,,,,3.7518140003085136,,,,,,,,3.7271139002405107,3.7277067000977695,3.7277279002591968,3.7518140003085136,3.7518140003085136,3.7518140003085136,3.937150100246072,4.736825100146234,4.753642600029707,4.753642600029707,4.753642600029707,5.736504800152034,5.736504800152034,5.72057620016858,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
congruent,X,0,1,1,1,,,,,5.736504800152034,,,,,,,,5.7210811004042625,5.7215221002697945,5.72153910016641,5.736504800152034,5.736504800152034,5.736504800152034,5.93676479998976,6.736569400411099,6.736569400411099,6.736569400411099,6.736569400411099,7.7362658004276454,7.7362658004276454,7.721430100034922,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,O,0,2,2,2,,,,,7.7362658004276454,,,,,,,,7.722158300224692,7.722814199980348,7.722845000214875,7.7362658004276454,7.7362658004276454,7.7362658004276454,7.936609600204974,8.736112700309604,8.736112700309604,8.736112700309604,8.736112700309604,9.736430200282484,9.736430200282484,9.721847000066191,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
congruent,O,0,3,3,3,,,,,9.736430200282484,,,,,,,,9.722510700114071,9.723223900422454,9.723252100404352,9.736430200282484,9.736430200282484,9.736430200282484,9.936480300035328,10.73611620021984,10.73611620021984,10.73611620021984,10.73611620021984,11.735938100144267,11.735938100144267,11.72032600035891,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,X,1,0,4,0,,,,,11.735938100144267,,,,,,,,11.72095079999417,11.721420200075954,11.721440500114113,11.735938100144267,11.735938100144267,11.735938100144267,11.936195800080895,12.736058800015599,12.736058800015599,12.736058800015599,12.736058800015599,13.736720700282604,13.736720700282604,13.720304800197482,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
congruent,X,1,1,5,1,,,,,13.736720700282604,,,,,,,,13.720827900338918,13.721376100089401,13.721396200358868,13.736720700282604,13.736720700282604,13.736720700282604,13.936034200247377,14.73624650016427,14.73624650016427,14.73624650016427,14.73624650016427,15.736083100084215,15.736083100084215,15.720567500218749,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,O,1,2,6,2,,,,,15.736083100084215,,,,,,,,15.721078100148588,15.721734800375998,15.721756000071764,15.736083100084215,15.736083100084215,15.736083100084215,15.936006500385702,16.7349740001373,16.7349740001373,16.7349740001373,16.7349740001373,17.735558100044727,17.735558100044727,17.72057650005445,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
congruent,O,1,3,7,3,,,,,17.735558100044727,,,,,,,,17.72111440030858,17.721615300048143,17.721646700054407,17.735558100044727,17.735558100044727,17.735558100044727,17.935731900390238,18.73589410027489,18.73589410027489,18.73589410027489,18.73589410027489,19.735566799994558,19.735566799994558,19.720380500424653,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,X,2,0,8,0,,,,,19.735566799994558,,,,,,,,19.720918599981815,19.721523800399154,19.721547200344503,19.735566799994558,19.735566799994558,19.735566799994558,19.936106800101697,20.735915300436318,20.735915300436318,20.735915300436318,20.735915300436318,21.73542210040614,21.73542210040614,21.71997780026868,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
