condition,stim,left_color_stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,left_stim2.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,left_stim2.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.009687799960374832,0.02696469984948635,1.0778904999606311,space,1.0419342000968754,None,,,,,,,,,,,,,,,,,,,,,001,1,0,2023-10-26_15h08.09.525,simon_task,2023.2.2,60.36992271590268,2023-10-26 15h08.23.369676 +0100,
congruent,X,blue,0,0,0,0,1.1085121999494731,,,,,,,,1.0831241002306342,1.0835887999273837,1.0836048000492156,1.1085121999494731,1.1085121999494731,1.1085121999494731,1.1085121999494731,1.2945306999608874,2.5930542000569403,2.6105480999685824,2.6105480999685824,2.6105480999685824,2.6105480999685824,3.09414520021528,3.592625599820167,3.5779499001801014,None,0,,,001,1,0,2023-10-26_15h08.09.525,simon_task,2023.2.2,60.36992271590268,2023-10-26 15h08.23.369676 +0100,
congruent,O,blue,0,1,1,1,3.592625599820167,,,,,,,,3.5785957002080977,3.579029900021851,3.5790496999397874,3.592625599820167,3.592625599820167,3.592625599820167,3.592625599820167,3.7942193998023868,5.093102800194174,5.093102800194174,5.093102800194174,5.093102800194174,5.093102800194174,5.593527900055051,6.092985500115901,6.078134399838746,None,0,,,001,1,0,2023-10-26_15h08.09.525,simon_task,2023.2.2,60.36992271590268,2023-10-26 15h08.23.369676 +0100,
congruent,X,blue,1,0,2,0,6.092985500115901,,,,,,,,6.079033900052309,6.079617400187999,6.079650999978185,6.092985500115901,6.092985500115901,6.092985500115901,6.092985500115901,6.292836300097406,7.593374900054187,7.593374900054187,7.593374900054187,7.593374900054187,7.593374900054187,8.09306349977851,8.592669500038028,8.577073500026017,None,0,,,001,1,0,2023-10-26_15h08.09.525,simon_task,2023.2.2,60.36992271590268,2023-10-26 15h08.23.369676 +0100,
congruent,O,blue,1,1,3,1,8.592669500038028,,,,,,,,8.577510700095445,8.577917700167745,8.577934000175446,8.592669500038028,8.592669500038028,8.592669500038028,8.592669500038028,8.794864799827337,10.092842900194228,10.092842900194228,10.092842900194228,10.092842900194228,10.092842900194228,10.609573199879378,11.092984899878502,11.076896800193936,None,0,,,001,1,0,2023-10-26_15h08.09.525,simon_task,2023.2.2,60.36992271590268,2023-10-26 15h08.23.369676 +0100,
congruent,X,blue,2,0,4,0,11.092984899878502,,,,,,,,11.077367399819195,11.07770279981196,11.07772189984098,11.092984899878502,11.092984899878502,11.092984899878502,11.092984899878502,11.275764000136405,12.592441100161523,12.592441100161523,12.592441100161523,12.592441100161523,12.592441100161523,13.075750600080937,13.59260160010308,13.576536300126463,None,0,,,001,1,0,2023-10-26_15h08.09.525,simon_task,2023.2.2,60.36992271590268,2023-10-26 15h08.23.369676 +0100,
congruent,O,blue,2,1,5,1,13.59260160010308,,,,,,,,13.577206400223076,13.57761859986931,13.577636499889195,13.59260160010308,13.59260160010308,13.59260160010308,13.59260160010308,13.791999000124633,15.093075099866837,15.093075099866837,15.093075099866837,15.093075099866837,15.093075099866837,15.59296610020101,16.092599300201982,16.076655100099742,None,0,,,001,1,0,2023-10-26_15h08.09.525,simon_task,2023.2.2,60.36992271590268,2023-10-26 15h08.23.369676 +0100,
congruent,X,blue,3,0,6,0,16.092599300201982,,,,,,,,16.07725099986419,16.077756999991834,16.07777479989454,16.092599300201982,16.092599300201982,16.092599300201982,16.092599300201982,16.292067400179803,17.592633199878037,17.592633199878037,17.592633199878037,17.592633199878037,17.592633199878037,18.093198200222105,18.59259259980172,18.577579599805176,None,0,,,001,1,0,2023-10-26_15h08.09.525,simon_task,2023.2.2,60.36992271590268,2023-10-26 15h08.23.369676 +0100,
congruent,O,blue,3,1,7,1,18.59259259980172,,,,,,,,18.57811990007758,18.57859589997679,18.57861900003627,18.59259259980172,18.59259259980172,18.59259259980172,18.59259259980172,18.793264400213957,20.092890200205147,20.092890200205147,20.092890200205147,20.092890200205147,20.092890200205147,20.594048699829727,21.092350299935788,21.077646899968386,None,0,,,001,1,0,2023-10-26_15h08.09.525,simon_task,2023.2.2,60.36992271590268,2023-10-26 15h08.23.369676 +0100,
congruent,X,blue,4,0,8,0,21.092350299935788,,,,,,,,21.078308300115168,21.078983699902892,21.079009800218046,21.092350299935788,21.092350299935788,21.092350299935788,21.092350299935788,21.292545800097287,22.591772799845785,22.591772799845785,22.591772799845785,22.591772799845785,22.591772799845785,23.093366200104356,23.607522999867797,23.578781499993056,None,0,,,001,1,0,2023-10-26_15h08.09.525,simon_task,2023.2.2,60.36992271590268,2023-10-26 15h08.23.369676 +0100,
congruent,O,blue,4,1,9,1,23.607522999867797,,,,,,,,23.5795284002088,23.580154600087553,23.580180999822915,23.607522999867797,23.607522999867797,23.607522999867797,23.607522999867797,23.792352700140327,25.092287099920213,25.108783700037748,25.108783700037748,25.108783700037748,25.108783700037748,25.59225929994136,26.092536800075322,26.076062399894,None,0,,,001,1,0,2023-10-26_15h08.09.525,simon_task,2023.2.2,60.36992271590268,2023-10-26 15h08.23.369676 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.076352399773896,26.092536800075322,,,,,,,,,
