condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,left_image.started,right_image.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,left_image.stopped,right_image.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.00472999969497323,0.08730269968509674,1.5585969998501241,space,1.4685698999091983,None,,,,,,,,,,,,,,,,,,,,,,,001,1,0,2023-10-26_15h39.13.277,simon_task,2023.2.2,60.78835198103472,2023-10-26 15h39.24.173024 +0100,
congruent,X,0,0,0,0,1.587645299732685,,,,,,,,1.5647394000552595,1.5652609998360276,1.5652783997356892,1.587645299732685,1.587645299732685,1.587645299732685,1.587645299732685,1.587645299732685,1.7725740000605583,3.0720766996964812,3.089805499650538,3.089805499650538,3.089805499650538,3.089805499650538,3.089805499650538,3.5722113996744156,4.07192249968648,4.056849199812859,None,0,,,001,1,0,2023-10-26_15h39.13.277,simon_task,2023.2.2,60.78835198103472,2023-10-26 15h39.24.173024 +0100,
congruent,O,0,1,1,1,4.07192249968648,,,,,,,,4.057453699875623,4.057955399621278,4.057972699869424,4.07192249968648,4.07192249968648,4.07192249968648,4.07192249968648,4.07192249968648,4.272911599837244,5.572629599831998,5.572629599831998,5.572629599831998,5.572629599831998,5.572629599831998,5.572629599831998,6.072610499802977,6.572304700035602,6.556538899894804,None,0,,,001,1,0,2023-10-26_15h39.13.277,simon_task,2023.2.2,60.78835198103472,2023-10-26 15h39.24.173024 +0100,
congruent,X,1,0,2,0,6.572304700035602,,,,,,,,6.557020099833608,6.557437499985099,6.557453899644315,6.572304700035602,6.572304700035602,6.572304700035602,6.572304700035602,6.572304700035602,6.772386800032109,8.071687899995595,8.071687899995595,8.071687899995595,8.071687899995595,8.071687899995595,8.071687899995595,8.572460900060833,9.072331999894232,9.057143699843436,None,0,,,001,1,0,2023-10-26_15h39.13.277,simon_task,2023.2.2,60.78835198103472,2023-10-26 15h39.24.173024 +0100,
congruent,O,1,1,3,1,9.072331999894232,,,,,,,,9.057818399742246,9.058352999854833,9.058381099719554,9.072331999894232,9.072331999894232,9.072331999894232,9.072331999894232,9.072331999894232,9.272119499742985,10.572277199942619,10.572277199942619,10.572277199942619,10.572277199942619,10.572277199942619,10.572277199942619,11.07240859977901,11.571704499889165,11.55742619978264,None,0,,,001,1,0,2023-10-26_15h39.13.277,simon_task,2023.2.2,60.78835198103472,2023-10-26 15h39.24.173024 +0100,
congruent,X,2,0,4,0,11.571704499889165,,,,,,,,11.558206199668348,11.558949699625373,11.558981499634683,11.571704499889165,11.571704499889165,11.571704499889165,11.571704499889165,11.571704499889165,11.771694399882108,13.072261800058186,13.072261800058186,13.072261800058186,13.072261800058186,13.072261800058186,13.072261800058186,13.572689299937338,14.071934499777853,14.056339299771935,None,0,,,001,1,0,2023-10-26_15h39.13.277,simon_task,2023.2.2,60.78835198103472,2023-10-26 15h39.24.173024 +0100,
congruent,O,2,1,5,1,14.071934499777853,,,,,,,,14.056806199718267,14.057134700007737,14.057151000015438,14.071934499777853,14.071934499777853,14.071934499777853,14.071934499777853,14.071934499777853,14.272258499637246,15.572341199964285,15.572341199964285,15.572341199964285,15.572341199964285,15.572341199964285,15.572341199964285,16.072748499922454,16.57187129976228,16.55612349975854,None,0,,,001,1,0,2023-10-26_15h39.13.277,simon_task,2023.2.2,60.78835198103472,2023-10-26 15h39.24.173024 +0100,
congruent,X,3,0,6,0,16.57187129976228,,,,,,,,16.556745700072497,16.557205299846828,16.557230100035667,16.57187129976228,16.57187129976228,16.57187129976228,16.57187129976228,16.57187129976228,16.772261399775743,18.071847799699754,18.071847799699754,18.071847799699754,18.071847799699754,18.071847799699754,18.071847799699754,18.571245899889618,19.071608999744058,19.056007799692452,None,0,,,001,1,0,2023-10-26_15h39.13.277,simon_task,2023.2.2,60.78835198103472,2023-10-26 15h39.24.173024 +0100,
congruent,O,3,1,7,1,19.071608999744058,,,,,,,,19.056541899684817,19.05705920001492,19.05708110006526,19.071608999744058,19.071608999744058,19.071608999744058,19.071608999744058,19.071608999744058,19.255834099836648,20.571727799717337,20.571727799717337,20.571727799717337,20.571727799717337,20.571727799717337,20.571727799717337,21.055974199902266,21.572091499809176,21.55561209982261,None,0,,,001,1,0,2023-10-26_15h39.13.277,simon_task,2023.2.2,60.78835198103472,2023-10-26 15h39.24.173024 +0100,
congruent,X,4,0,8,0,21.572091499809176,,,,,,,,21.556168099865317,21.55676329974085,21.556795799639076,21.572091499809176,21.572091499809176,21.572091499809176,21.572091499809176,21.572091499809176,21.77152599999681,23.071545499842614,23.071545499842614,23.071545499842614,23.071545499842614,23.071545499842614,23.071545499842614,23.572437099646777,24.071606799960136,24.055739699862897,None,0,,,001,1,0,2023-10-26_15h39.13.277,simon_task,2023.2.2,60.78835198103472,2023-10-26 15h39.24.173024 +0100,
