condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,left_image.started,right_image.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,left_image.stopped,right_image.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.010474500246345997,0.09296210017055273,1.4791741999797523,space,1.3724200995638967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
congruent,X,0,0,0,0,,,,,1.508633500430733,,,,,,,,1.4845964000560343,1.485093300230801,1.4851128002628684,1.508633500430733,1.508633500430733,1.508633500430733,1.508633500430733,1.508633500430733,1.693538499996066,2.994326100219041,3.0112816002219915,3.0112816002219915,3.0112816002219915,3.0112816002219915,3.0112816002219915,3.493354100268334,4.009036600124091,3.97813370032236,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
congruent,O,0,1,1,1,,,,,4.009036600124091,,,,,,,,3.979268700350076,3.9797836001962423,3.979810200165957,4.009036600124091,4.009036600124091,4.009036600124091,4.009036600124091,4.009036600124091,4.1935862000100315,5.493625500239432,5.510253100190312,5.510253100190312,5.510253100190312,5.510253100190312,5.510253100190312,5.993841400370002,6.509367400314659,6.4800824001431465,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
congruent,X,1,0,2,0,,,,,6.509367400314659,,,,,,,,6.480969000142068,6.481629000045359,6.481656600255519,6.509367400314659,6.509367400314659,6.509367400314659,6.509367400314659,6.509367400314659,6.6932747000828385,7.993077500257641,8.010155600029975,8.010155600029975,8.010155600029975,8.010155600029975,8.010155600029975,8.493614900391549,8.993640000000596,8.97859330009669,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
congruent,O,1,1,3,1,,,,,8.993640000000596,,,,,,,,8.979270700365305,8.979898700024933,8.97992890002206,8.993640000000596,8.993640000000596,8.993640000000596,8.993640000000596,8.993640000000596,9.19319530017674,10.493175400421023,10.493175400421023,10.493175400421023,10.493175400421023,10.493175400421023,10.493175400421023,10.994048000313342,11.493310800287873,11.477772100362927,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
congruent,X,2,0,4,0,,,,,11.493310800287873,,,,,,,,11.478366100229323,11.478884600102901,11.478915200103074,11.493310800287873,11.493310800287873,11.493310800287873,11.493310800287873,11.493310800287873,11.69321779999882,12.99277999997139,12.99277999997139,12.99277999997139,12.99277999997139,12.99277999997139,12.99277999997139,13.494066200219095,13.992850400041789,13.978125300258398,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
congruent,O,2,1,5,1,,,,,13.992850400041789,,,,,,,,13.97883679997176,13.979434000328183,13.979459000285715,13.992850400041789,13.992850400041789,13.992850400041789,13.992850400041789,13.992850400041789,14.192569100297987,15.493202900048345,15.493202900048345,15.493202900048345,15.493202900048345,15.493202900048345,15.493202900048345,15.993504600133747,16.49266180023551,16.47643160028383,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
congruent,X,3,0,6,0,,,,,16.49266180023551,,,,,,,,16.47692000027746,16.477372200228274,16.477391100022942,16.49266180023551,16.49266180023551,16.49266180023551,16.49266180023551,16.49266180023551,16.67630820022896,17.9766402002424,17.996231000404805,17.996231000404805,17.996231000404805,17.996231000404805,17.996231000404805,18.47610880015418,18.97646090015769,18.96117000002414,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
congruent,O,3,1,7,1,,,,,18.97646090015769,,,,,,,,18.96165500022471,18.962131900247186,18.96215490018949,18.97646090015769,18.97646090015769,18.97646090015769,18.97646090015769,18.97646090015769,19.17780080018565,20.476581300143152,20.476581300143152,20.476581300143152,20.476581300143152,20.476581300143152,20.476581300143152,20.993212000001222,21.475725800264627,21.460076400078833,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
congruent,X,4,0,8,0,,,,,21.475725800264627,,,,,,,,21.46050430042669,21.460904800333083,21.46092170011252,21.475725800264627,21.475725800264627,21.475725800264627,21.475725800264627,21.475725800264627,21.675874300301075,22.976682600099593,22.976682600099593,22.976682600099593,22.976682600099593,22.976682600099593,22.976682600099593,23.47669420018792,23.97593010030687,23.960341300349683,None,0,,,,,,,001,1,0,2023-10-26_15h40.32.388,simon_task,2023.2.2,59.40856394677796,2023-10-26 15h40.42.620649 +0100,
