condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,Instruction_image.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,ITI.started,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,trial_instructions_image.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.04677819999960775,0.12175579999893671,0.12175579999893671,24.99242830000003,space,24.86663899999985,None,,,,,,,,,,,,,,,,,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,0,0,0,9,,,,,25.004694399998698,,,,,,,,,24.997099099999105,24.997461899998598,24.997473100000207,25.004694399998698,25.004694399998698,25.004694399998698,25.205525999999736,26.50568949999979,26.50568949999979,26.50568949999979,26.50568949999979,27.004928899999868,27.505399699999543,27.489333199999237,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,0,1,1,0,,,,,27.505399699999543,,,,,,,,,27.489879499999006,27.49035339999864,27.490372999998726,27.505399699999543,27.505399699999543,27.505399699999543,27.705265200000213,29.00533539999924,29.00533539999924,29.00533539999924,29.00533539999924,29.505971700000373,30.004823100000067,29.99009870000009,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,0,2,2,2,,,,,30.004823100000067,,,,,,,,,29.990683299998636,29.991303400000106,29.991329599999517,30.004823100000067,30.004823100000067,30.004823100000067,30.205376599999,31.50519709999935,31.50519709999935,31.50519709999935,31.50519709999935,32.00566339999932,32.50472889999946,32.48986859999968,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,0,3,3,5,,,,,32.50472889999946,,,,,,,,,32.49043469999924,32.490985599999476,32.491013400000156,32.50472889999946,32.50472889999946,32.50472889999946,32.70634640000026,34.005476700000145,34.005476700000145,34.005476700000145,34.005476700000145,34.50546829999985,35.005822799999805,34.98986309999964,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,0,4,4,7,,,,,35.005822799999805,,,,,,,,,34.99046710000039,34.99110239999936,34.99113059999945,35.005822799999805,35.005822799999805,35.005822799999805,35.20577289999892,36.52150509999956,36.52150509999956,36.52150509999956,36.505097199999,37.0058898999996,37.5063885999989,37.4895362999996,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,0,5,5,1,,,,,37.5063885999989,,,,,,,,,37.49010669999916,37.490671499999735,37.490698699999484,37.5063885999989,37.5063885999989,37.5063885999989,37.70562539999992,39.02187299999969,39.02187299999969,39.02187299999969,39.00489430000016,39.50503469999967,40.004949000000124,39.98981099999946,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,0,6,6,3,,,,,40.004949000000124,,,,,,,,,39.99047849999988,39.99110509999991,39.99112929999865,40.004949000000124,40.004949000000124,40.004949000000124,40.205355999998574,41.505179199999475,41.505179199999475,41.505179199999475,41.505179199999475,42.02107319999959,42.504204999999274,42.48864820000017,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,0,7,7,8,,,,,42.504204999999274,,,,,,,,,42.48909399999866,42.48957629999859,42.4895961000002,42.504204999999274,42.504204999999274,42.504204999999274,42.706225599999016,44.00397919999887,44.00397919999887,44.00397919999887,44.00397919999887,44.52261929999986,45.004877899998974,44.98957429999973,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,0,8,8,6,,,,,45.004877899998974,,,,,,,,,44.99020769999879,44.990846200000306,44.99087989999862,45.004877899998974,45.004877899998974,45.004877899998974,45.20511959999931,46.50441949999913,46.50441949999913,46.50441949999913,46.50441949999913,47.00411129999884,47.50433759999942,47.48912899999959,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,0,9,9,4,,,,,47.50433759999942,,,,,,,,,47.4898076999998,47.49048760000005,47.4905179999987,47.50433759999942,47.50433759999942,47.50433759999942,47.70472449999943,49.004828899998756,49.004828899998756,49.004828899998756,49.004828899998756,49.50509559999955,50.00454799999898,49.9891889999999,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,1,0,10,8,,,,,50.00454799999898,,,,,,,,,49.989703299999746,49.99026889999914,49.9902934999991,50.00454799999898,50.00454799999898,50.00454799999898,50.20394409999972,51.504818699999305,51.504818699999305,51.504818699999305,51.504818699999305,52.00557990000016,52.50451520000024,52.489102399998956,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,1,1,11,4,,,,,52.50451520000024,,,,,,,,,52.489558999999645,52.49015249999866,52.49017459999959,52.50451520000024,52.50451520000024,52.50451520000024,52.70394839999972,54.00510349999968,54.00510349999968,54.00510349999968,54.00510349999968,54.50450079999973,,55.00605469999937,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,1,2,12,2,,,,,55.02048279999872,,,,,,,,,55.00669029999881,55.00727129999905,55.00730029999977,55.02048279999872,55.02048279999872,55.02048279999872,55.22160819999954,56.520937199999025,56.520937199999025,56.520937199999025,56.520937199999025,57.02219899999909,57.52027739999903,57.50539529999878,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
