condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,left_stim_2.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,left_stim_2.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.05551180000020395,0.14162830000032045,6.3911080000002585,space,6.24692529999993,None,,,,,,,,,,,,,,,,,,,001,1,1,2023-11-10_13h28.25.604,simon_task_simple,2023.2.2,60.10565371814377,2023-11-10 13h28.40.142232 +0000,
congruent,X,0,0,0,2,6.420553200000086,,,,,,,,6.396355600000334,6.397070700000313,6.397092000000157,6.420553200000086,6.420553200000086,6.420553200000086,6.420553200000086,6.604926299999988,7.9051744000003055,7.92233699999997,7.92233699999997,7.92233699999997,8.322690400000283,8.406105500000194,8.905186700000286,8.889314200000172,None,0,001,1,1,2023-11-10_13h28.25.604,simon_task_simple,2023.2.2,60.10565371814377,2023-11-10 13h28.40.142232 +0000,
congruent,O,0,1,1,7,8.905186700000286,,,,,,,,8.889947200000279,8.890645500000119,8.8906621000001,8.905186700000286,8.905186700000286,8.905186700000286,8.905186700000286,9.104952500000309,10.40649940000003,10.40649940000003,10.40649940000003,10.40649940000003,10.8050760000001,10.906085900000107,11.40526090000003,11.390716500000053,None,0,001,1,1,2023-11-10_13h28.25.604,simon_task_simple,2023.2.2,60.10565371814377,2023-11-10 13h28.40.142232 +0000,
congruent,O,0,2,2,3,11.40526090000003,,,,,,,,11.391486200000145,11.392182100000355,11.392215300000316,11.40526090000003,11.40526090000003,11.40526090000003,11.40526090000003,11.60517340000024,12.904916500000127,12.904916500000127,12.904916500000127,12.904916500000127,13.305334099999982,13.405071800000314,13.904885500000091,13.889994800000295,None,0,001,1,1,2023-11-10_13h28.25.604,simon_task_simple,2023.2.2,60.10565371814377,2023-11-10 13h28.40.142232 +0000,
congruent,X,0,3,3,6,13.904885500000091,,,,,,,,13.890738500000225,13.891504000000168,13.89153400000032,13.904885500000091,13.904885500000091,13.904885500000091,13.904885500000091,14.104976400000396,15.390320200000133,15.404865200000131,15.404865200000131,15.404865200000131,15.805664800000159,15.905602199999976,16.40433350000012,16.389632000000347,None,0,001,1,1,2023-11-10_13h28.25.604,simon_task_simple,2023.2.2,60.10565371814377,2023-11-10 13h28.40.142232 +0000,
congruent,O,0,4,4,5,16.40433350000012,,,,,,,,16.390294000000267,16.3906635000003,16.390681700000187,16.40433350000012,16.40433350000012,16.40433350000012,16.40433350000012,16.60550860000012,17.905667200000153,17.905667200000153,17.905667200000153,17.905667200000153,18.30588140000009,18.405633800000032,18.922185200000058,18.890039800000068,None,0,001,1,1,2023-11-10_13h28.25.604,simon_task_simple,2023.2.2,60.10565371814377,2023-11-10 13h28.40.142232 +0000,
congruent,X,0,5,5,4,18.922185200000058,,,,,,,,18.890982400000212,18.891915100000006,18.891954200000328,18.922185200000058,18.922185200000058,18.922185200000058,18.922185200000058,19.104946200000086,20.405508800000007,20.422346700000162,20.422346700000162,20.422346700000162,20.82202630000029,20.90578930000038,21.40602510000008,21.390469600000415,None,0,001,1,1,2023-11-10_13h28.25.604,simon_task_simple,2023.2.2,60.10565371814377,2023-11-10 13h28.40.142232 +0000,
congruent,X,0,6,6,8,21.40602510000008,,,,,,,,21.391287700000248,21.391924000000017,21.39195910000035,21.40602510000008,21.40602510000008,21.40602510000008,21.40602510000008,21.605231300000014,22.905354200000147,22.905354200000147,22.905354200000147,22.905354200000147,23.305329300000267,23.405616400000326,23.920382900000277,23.889785800000027,None,0,001,1,1,2023-11-10_13h28.25.604,simon_task_simple,2023.2.2,60.10565371814377,2023-11-10 13h28.40.142232 +0000,
congruent,O,0,7,7,1,23.920382900000277,,,,,,,,23.890961300000072,23.89175850000038,23.89179920000015,23.920382900000277,23.920382900000277,23.920382900000277,23.920382900000277,24.105559700000413,25.40483250000034,25.420789400000103,25.420789400000103,25.420789400000103,25.82054500000004,25.921517400000084,26.404881000000387,26.389574000000266,None,0,001,1,1,2023-11-10_13h28.25.604,simon_task_simple,2023.2.2,60.10565371814377,2023-11-10 13h28.40.142232 +0000,
congruent,O,0,8,8,9,26.404881000000387,,,,,,,,26.390314300000227,26.390891400000328,26.390920199999982,26.404881000000387,26.404881000000387,26.404881000000387,26.404881000000387,26.604921399999967,27.904630100000304,27.904630100000304,27.904630100000304,27.904630100000304,28.304580100000294,28.58883270000024,28.905742100000225,28.89106340000035,None,0,001,1,1,2023-11-10_13h28.25.604,simon_task_simple,2023.2.2,60.10565371814377,2023-11-10 13h28.40.142232 +0000,
