condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,left_image.started,right_image.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,left_image.stopped,right_image.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,trial_instructions.started,key_instruct_2.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0067934999242424965,0.08955779997631907,7.259463499765843,space,7.164169800002128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,0,0,0,7,,,,,7.289282899815589,,,,,,,,7.271466999780387,7.27215479966253,7.2721783998422325,7.289282899815589,7.289282899815589,7.289282899815589,7.289282899815589,7.289282899815589,7.4745859997347,8.77378399996087,8.790282199624926,8.790282199624926,8.790282199624926,8.790282199624926,8.790282199624926,9.27501569967717,9.773796199820936,9.758721699938178,m,0,0.7039306000806391,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,0,1,1,9,,,,,9.773796199820936,,,,,,,,9.759651700034738,9.760222599841654,9.760244799777865,9.773796199820936,9.773796199820936,9.773796199820936,9.773796199820936,9.773796199820936,9.974322999827564,11.274083700031042,11.274083700031042,11.274083700031042,11.274083700031042,11.274083700031042,11.274083700031042,11.774483399931341,12.273726399987936,12.258149900007993,m,0,0.5507820001803339,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,0,2,2,2,,,,,12.273726399987936,,,,,,,,12.258773499634117,12.259275000076741,12.259292599745095,12.273726399987936,12.273726399987936,12.273726399987936,12.273726399987936,12.273726399987936,12.474154999945313,13.775314699858427,13.775314699858427,13.775314699858427,13.775314699858427,13.775314699858427,13.775314699858427,14.273891099728644,,14.773970199748874,z,0,0.2619965001940727,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,0,3,3,3,,,,,14.790632199961692,,,,,,,,14.774689399637282,14.77538329968229,14.775409899652004,14.790632199961692,14.790632199961692,14.790632199961692,14.790632199961692,14.790632199961692,14.990305899642408,16.29016669979319,16.29016669979319,16.29016669979319,16.29016669979319,16.29016669979319,16.29016669979319,16.790432199835777,17.290530500002205,17.275393599644303,m,0,0.7546733999624848,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,0,4,4,8,,,,,17.290530500002205,,,,,,,,17.27612469997257,17.27677059965208,17.276793399825692,17.290530500002205,17.290530500002205,17.290530500002205,17.290530500002205,17.290530500002205,17.49103969987482,18.789979899767786,18.789979899767786,18.789979899767786,18.789979899767786,18.789979899767786,18.789979899767786,19.289974899962544,19.790490499697626,19.775348600000143,z,0,1.1617548000067472,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,0,5,5,1,,,,,19.790490499697626,,,,,,,,19.776123999617994,19.776876899879426,19.776903699617833,19.790490499697626,19.790490499697626,19.790490499697626,19.790490499697626,19.790490499697626,19.990933999884874,21.290123699698597,21.290123699698597,21.290123699698597,21.290123699698597,21.290123699698597,21.290123699698597,21.78996860003099,22.289465199690312,22.275126799941063,z,1,0.21314499992877245,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,0,6,6,4,,,,,22.289465199690312,,,,,,,,22.275796900037676,22.276415899861604,22.27644219994545,22.289465199690312,22.289465199690312,22.289465199690312,22.289465199690312,22.289465199690312,22.490027299616486,23.78975859982893,23.78975859982893,23.78975859982893,23.78975859982893,23.78975859982893,23.78975859982893,24.290907899849117,24.789885099977255,24.775236499961466,m,1,0.06764600006863475,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,0,7,7,6,,,,,24.789885099977255,,,,,,,,24.775917899794877,24.776369199622422,24.77638589963317,24.789885099977255,24.789885099977255,24.789885099977255,24.789885099977255,24.789885099977255,24.99009789992124,26.290292299818248,26.290292299818248,26.290292299818248,26.290292299818248,26.290292299818248,26.290292299818248,26.790120599791408,27.289526999928057,27.27392889978364,m,1,0.4862319999374449,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,0,8,8,0,,,,,27.289526999928057,,,,,,,,27.274404999800026,27.27491350006312,27.274931399617344,27.289526999928057,27.289526999928057,27.289526999928057,27.289526999928057,27.289526999928057,27.489462499972433,28.79017769964412,28.79017769964412,28.79017769964412,28.79017769964412,28.79017769964412,28.79017769964412,29.289784399792552,,29.77647849963978,m,1,0.25089759984984994,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
